player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Michael Carter-Williams,ORL,1.65097273,0.963304012,2.614276742,1.859984259,2.020706127,3.880690387
Michael Carter-Williams,HOU,-2.03136159,0.238067319,-1.793294271,-2.462453219,0.231958554,-2.230494665
Vince Carter,ATL,-0.216999688,-1.06969965,-1.286699338,-0.362867642,-1.26457685,-1.627444491
Wendell Carter Jr.,CHI,-3.846317792,1.143936522,-2.70238127,-4.524269419,1.281799147,-3.242470271
Alex Caruso,LAL,2.147171833,2.688800468,4.835972301,0.750970517,2.594952915,3.345923432
Omri Casspi,MEM,-0.537776789,2.438779605,1.901002816,-0.97346402,1.408239964,0.434775944
Willie Cauley-Stein,SAC,-2.648307994,1.444718015,-1.203589979,-1.729854044,1.65585202,-0.074002023
Troy Caupain,ORL,14.30346455,5.016602161,19.32006671,7.686273461,3.628737321,11.31501078
Tyler Cavanaugh,UTA,-4.708308095,-5.56764865,-10.27595675,-7.109707754,-5.787522518,-12.89723027
Tyson Chandler,PHO,-3.95378754,-5.39185154,-9.34563908,-5.833995311,-2.733281073,-8.567276383
Tyson Chandler,LAL,-3.843493802,2.373019479,-1.470474323,-4.321417136,2.260703757,-2.060713379
Wilson Chandler,LAC,-3.494549515,1.346129119,-2.148420396,-3.785075761,3.230671015,-0.554404747
Wilson Chandler,LAC,-4.232261792,-2.924208773,-7.156470565,-4.06452833,-3.027728141,-7.092256471
Wilson Chandler,PHI,-1.85206116,-0.081233658,-1.933294818,-1.235008572,-0.513817686,-1.748826258
Joe Chealey,CHA,-10.02906465,-10.46751121,-20.49657586,-5.187206569,-13.62727165,-18.81447822
Chris Chiozza,HOU,-2.875147525,-9.539618069,-12.41476559,-3.760837068,-7.565383565,-11.32622063
Marquese Chriss,CLE,-4.745150558,-3.958587937,-8.703738495,-3.943296387,-4.376254936,-8.319551322
Marquese Chriss,HOU,-11.69028832,-2.670335389,-14.36062371,-9.083408674,-3.74184956,-12.82525823
Gary Clark,HOU,-3.913908988,0.637982729,-3.27592626,-5.124982678,-5.587805743,-10.71278842
Gary Clark,HOU,-1.136763967,-2.028822994,-3.16558696,-0.559243557,-2.017439063,-2.57668262
Ian Clark,NOP,-2.086981553,-3.684948993,-5.771930546,-2.246744783,-3.302576629,-5.549321412
Jordan Clarkson,CLE,1.911316647,-2.540019636,-0.628702989,2.078466364,-2.573352634,-0.49488627
Darren Collison,IND,-3.62472903,0.231042199,-3.393686831,-1.96376834,2.270883615,0.307115275
Darren Collison,IND,0.929512816,0.429411996,1.358924813,0.229925112,0.534526077,0.764451189
