player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Brad Wanamaker,BOS,-2.519802645,-7.706550776,-10.22635342,-2.077679855,-9.737711021,-11.81539088
Brad Wanamaker,BOS,0.038556559,-0.343082515,-0.304525956,-0.78327715,0.015385528,-0.767891622
T.J. Warren,PHO,0.75362919,-1.220622802,-0.466993613,0.686256747,-0.906602235,-0.220345489
Julian Washburn,MEM,-4.674302401,1.486757069,-3.187545332,-4.74411181,1.053385781,-3.690726028
Yuta Watanabe,MEM,-6.109135607,-1.706371577,-7.815507184,-5.374713377,-1.765000037,-7.139713414
Thomas Welsh,DEN,-1.427393948,2.227038939,0.799644991,-2.414803038,0.697874331,-1.716928707
Russell Westbrook,OKC,-0.368062077,-10.23765057,-10.60571265,-3.015480246,-10.49991088,-13.51539112
Russell Westbrook,OKC,2.203762085,0.312046533,2.515808618,3.331564879,0.549352756,3.880917634
Derrick White,SAS,3.962792508,3.9560547,7.918847207,2.8378903,3.568045132,6.405935431
Derrick White,SAS,-0.096197153,2.816143257,2.719946104,0.150650198,3.08301064,3.233660838
Hassan Whiteside,MIA,-1.014007558,4.482568174,3.468560616,-0.687465028,3.396254989,2.708789961
Okaro White,WAS,-3.655399957,6.429601164,2.774201207,-4.664041008,0.102264656,-4.561776351
Andrew Wiggins,MIN,-1.392979416,-0.880221705,-2.273201121,-0.7462425,-0.354920193,-1.101162693
Alan Williams,BRK,7.84597489,11.6338741,19.47984899,8.828079108,6.118116482,14.94619559
C.J. Williams,MIN,-2.762601483,-1.374755596,-4.137357079,-3.486468077,-1.002581346,-4.489049422
Johnathan Williams,LAL,-1.436611262,-2.491051478,-3.927662739,-1.735585229,-1.147538414,-2.883123643
Kenrich Williams,NOP,-1.246715736,1.380722288,0.134006552,-0.872564251,0.757200539,-0.115363712
Lou Williams,LAC,5.711743646,-5.033531359,0.678212287,1.965366104,-7.354972797,-5.389606693
Lou Williams,LAC,5.477769686,-4.159043782,1.318725904,4.042941501,-4.405614216,-0.362672715
Marvin Williams,CHA,-1.575451837,-0.676032832,-2.251484669,-0.917166293,-0.765213694,-1.682379986
Robert Williams III,BOS,0.284852647,11.35636525,11.6412179,0.936982224,1.047719271,1.984701495
Robert Williams III,BOS,-3.341883781,1.65473344,-1.687150341,-4.913726596,1.389322449,-3.524404147
Troy Williams,SAC,-1.568114455,-3.428541139,-4.996655594,-2.381763795,-2.648892175,-5.03065597
D.J. Wilson,MIL,-8.162219657,-7.224300628,-15.38652028,-6.830654439,-8.998316373,-15.82897081
D.J. Wilson,MIL,-1.920016737,1.389780176,-0.53023656,-1.842180345,0.806983986,-1.035196359
Justise Winslow,MIA,-0.791421005,-0.299498571,-1.090919576,-0.056047543,0.750099453,0.694051909
Christian Wood,MIL,-0.4446334,-4.856596657,-5.301230056,-2.120270604,-5.780971905,-7.901242509
Christian Wood,NOP,-0.361948495,-0.583707572,-0.945656067,-0.958405314,-1.039297374,-1.997702688
Delon Wright,TOR,1.114426228,2.091529272,3.2059555,0.101121529,1.589254211,1.69037574
Delon Wright,MEM,0.818552022,2.532283259,3.350835281,-0.365842663,3.000754649,2.634911986
Guerschon Yabusele,BOS,-2.574812295,2.966644448,0.391832153,-1.339543964,-0.744251917,-2.083795881
Guerschon Yabusele,BOS,-2.769494833,3.053899456,0.284404623,-3.792154253,1.730620296,-2.061533956
Nick Young,DEN,-3.128699164,-6.622920513,-9.751619677,-2.671375972,-4.934923135,-7.606299107
Thaddeus Young,IND,-0.957052675,7.009991188,6.052938512,2.934691858,9.402047243,12.3367391
Thaddeus Young,IND,0.292162288,2.199012237,2.491174524,0.480638732,2.336326679,2.816965411
Trae Young,ATL,2.097203861,-3.469196614,-1.371992753,2.795596691,-4.777071484,-1.981474793
Cody Zeller,CHA,0.023388635,0.708547501,0.731936136,0.277616709,0.640044641,0.91766135
Tyler Zeller,ATL,-5.817848543,8.353808223,2.535959679,-10.03695519,7.702648246,-2.334306947
Tyler Zeller,MEM,-0.148063647,4.410275699,4.262212052,0.42180024,4.003576227,4.425376467
Ante Zizic,CLE,-2.6148016,-1.767887761,-4.382689361,-2.392563392,-2.024149495,-4.416712887
Ivica Zubac,LAC,-1.783740543,5.013981149,3.230240605,-4.441708638,4.872226688,0.43051805
Ivica Zubac,LAL,-1.459352167,1.114247173,-0.345104994,-2.387527675,1.045694777,-1.341832899
Ivica Zubac,LAC,-3.23718351,1.41499581,-1.8221877,-3.105152003,0.994436357,-2.110715646
